Time: 18.003, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 2880, HARQErrorRate: 0
Time: 18.004, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2348, HARQErrorRate: 0
Time: 18.005, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2326, HARQErrorRate: 0
Time: 19, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 110, SumTotal: 3, CountTotal: 2107, HARQErrorRate: 0
Time: 19.001, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 5, CountTotal: 1937, HARQErrorRate: 0
Time: 19.002, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 1919, HARQErrorRate: 0
Time: 19.003, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 3040, HARQErrorRate: 0
Time: 19.004, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2478, HARQErrorRate: 0
Time: 19.005, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2456, HARQErrorRate: 0
Time: 20, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 104, SumTotal: 5, CountTotal: 2041, HARQErrorRate: 0
Time: 20.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 100, SumTotal: 4, CountTotal: 2019, HARQErrorRate: 0
Time: 20.002, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 160, SumTotal: 6, CountTotal: 3200, HARQErrorRate: 0
Time: 20.003, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 130, SumTotal: 5, CountTotal: 2608, HARQErrorRate: 0
Time: 20.004, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 125, SumTotal: 5, CountTotal: 2581, HARQErrorRate: 0
Time: 20.005, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 111, SumTotal: 3, CountTotal: 2218, HARQErrorRate: 0
Time: 21, Acid: 4, HarqErrorSum: 1, HarqErrorRateUlCount: 159, SumTotal: 6, CountTotal: 2200, HARQErrorRate: 0.00628931
Time: 21.001, Acid: 5, HarqErrorSum: 2, HarqErrorRateUlCount: 159, SumTotal: 6, CountTotal: 2178, HARQErrorRate: 0.0125786
Time: 21.002, Acid: 0, HarqErrorSum: 3, HarqErrorRateUlCount: 163, SumTotal: 9, CountTotal: 3363, HARQErrorRate: 0.0184049
Time: 21.003, Acid: 1, HarqErrorSum: 2, HarqErrorRateUlCount: 162, SumTotal: 7, CountTotal: 2770, HARQErrorRate: 0.0123457
Time: 21.004, Acid: 2, HarqErrorSum: 2, HarqErrorRateUlCount: 160, SumTotal: 7, CountTotal: 2741, HARQErrorRate: 0.0125
Time: 21.005, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 158, SumTotal: 3, CountTotal: 2376, HARQErrorRate: 0
Time: 22, Acid: 2, HarqErrorSum: 1, HarqErrorRateUlCount: 164, SumTotal: 8, CountTotal: 2905, HARQErrorRate: 0.00609756
Time: 22.001, Acid: 3, HarqErrorSum: 1, HarqErrorRateUlCount: 164, SumTotal: 4, CountTotal: 2540, HARQErrorRate: 0.00609756
Time: 22.002, Acid: 4, HarqErrorSum: 2, HarqErrorRateUlCount: 165, SumTotal: 8, CountTotal: 2365, HARQErrorRate: 0.0121212
