Time: 12, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 88, SumTotal: 0, CountTotal: 946, HARQErrorRate: 0
Time: 12.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 938, HARQErrorRate: 0
Time: 12.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 78, SumTotal: 0, CountTotal: 942, HARQErrorRate: 0
Time: 12.012, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 69, SumTotal: 0, CountTotal: 934, HARQErrorRate: 0
Time: 12.013, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 930, HARQErrorRate: 0
Time: 12.015, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 83, SumTotal: 0, CountTotal: 945, HARQErrorRate: 0
Time: 12.018, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 80, SumTotal: 0, CountTotal: 937, HARQErrorRate: 0
Time: 12.019, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 74, SumTotal: 0, CountTotal: 924, HARQErrorRate: 0
Time: 13.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 81, SumTotal: 0, CountTotal: 1019, HARQErrorRate: 0
Time: 13.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 1023, HARQErrorRate: 0
Time: 13.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 1011, HARQErrorRate: 0
Time: 13.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 81, SumTotal: 0, CountTotal: 1015, HARQErrorRate: 0
Time: 13.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 73, SumTotal: 0, CountTotal: 1003, HARQErrorRate: 0
Time: 13.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 68, SumTotal: 0, CountTotal: 1010, HARQErrorRate: 0
Time: 13.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 1015, HARQErrorRate: 0
Time: 13.008, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 1023, HARQErrorRate: 0
Time: 14, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 1094, HARQErrorRate: 0
Time: 14.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 89, SumTotal: 0, CountTotal: 1092, HARQErrorRate: 0
Time: 14.011, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 1090, HARQErrorRate: 0
Time: 14.012, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 84, SumTotal: 0, CountTotal: 1099, HARQErrorRate: 0
Time: 14.014, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 1095, HARQErrorRate: 0
